,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,sentiment,sentiment:confidence,date,id,query,sentiment_gold,text,text_original
15,623495528,False,finalized,6,12/12/14 15:50,3,0.4798,Mon Dec 01 21:29:45 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['thank', 'non', 'factual', 'dumb', 'twitter', 'follow', 'stock', 'drop', 'point', 'one', 'minut', 'thank', 'dummi']",#aapl @applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. #rumors
16,623495529,True,golden,16,,1,0.9399,Mon Dec 01 21:35:14 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['warn', 'buy', 'iphon', 'unlock', 'iphon', 'cannot', 'use', 'verizon', 'network']",WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK
17,623495530,False,finalized,3,12/12/14 3:38,not_relevant,0.6904,Mon Dec 01 21:52:04 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['john', 'cantli', 'prison', 'isi', 'day', 'show', 'abandon', 'sign']","@Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P"
18,623495531,False,finalized,3,12/12/14 4:59,3,0.6621,Mon Dec 01 21:53:12 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['thank', 'xtra', 'checkin', 'upper', 'westsid', 'store', 'appoint', 'run', 'almost', 'minut', 'late']",@apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?
19,623495532,False,finalized,3,12/12/14 20:59,3,1.0,Mon Dec 01 22:22:09 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['stock', 'mini', 'flash', 'crash', 'today', 'money', 'morn', 'noth', 'analyst', 'suggest', 'would', 'make', 'widel']",Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3
20,623495533,False,finalized,3,12/11/14 20:31,not_relevant,1.0,Mon Dec 01 23:03:01 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['aapl', 'dip', 'momentarili', 'aberr', 'equiti', 'world']",$AAPL dip only momentarily....just an aberration in the equity world..#AAPL
21,623495534,False,finalized,4,12/12/14 8:36,3,0.7244,Mon Dec 01 23:12:40 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['jh', 'hine', 'staff', 'newli', 'issu', 'macbook', 'ipad', 'mini']",The JH Hines Staff with their newly issued @apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH
22,623495535,False,finalized,3,12/12/14 14:08,3,0.6552,Mon Dec 01 23:43:14 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['need', 'ip', 'portfolio', 'defend', 'big', 'compani', 'look', 'court', 'battl']",@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
23,623495536,True,golden,13,,1,1.0,Mon Dec 01 23:55:55 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['love', 'gawd', 'center', 'damn', 'calendar', 'app', 'fix', 'back', 'center']","@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
24,623495537,True,golden,9,,1,0.8928,Tue Dec 02 00:06:05 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['get', 'storag', 'almost', 'full', 'notif', 'liter', 'everi', 'minut', 'chill']",i get the storage almost full notification literally every 5 minutes chill @apple
25,623495538,True,golden,13,,1,0.8558,Tue Dec 02 00:14:25 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['made', 'iphon', 'galaxi', 'note', 'edg', 'keep']",I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up http://t.co/1Vve1htP0n
26,623495539,True,golden,14,,1,0.8701,Tue Dec 02 00:15:11 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['rt', 'stand', 'ppl', 'sticker', 'everywher', 'prob', 'bought', 'ipod', 'shuffl']",@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
27,623495540,False,finalized,4,12/12/14 8:36,3,0.7244,Tue Dec 02 00:15:14 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
28,623495541,True,golden,16,,5,0.5724,Tue Dec 02 00:15:16 +0000 2014,5.4e+17,#AAPL OR @Apple,"5
3","['latest', 'appl', 'product', 'lead', 'effici']",Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ @apple #iPhone #iPad #plugloads
29,623495542,False,finalized,3,12/12/14 8:42,3,1.0,Tue Dec 02 00:15:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
30,623495543,False,finalized,4,12/12/14 18:31,3,0.7179,Tue Dec 02 00:16:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['good', 'huge', 'rt', 'justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",Good be huge RT @thehill Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/QmLBuvG6Xz
31,623495544,False,finalized,3,12/12/14 2:33,3,1.0,Tue Dec 02 00:16:04 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['cite', 'th', 'amend', 'retort']",@thehill @Apple i cite the 4th amendment as a retort
32,623495545,False,finalized,3,12/12/14 0:01,3,0.6604,Tue Dec 02 00:16:27 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
33,623495546,False,finalized,4,12/11/14 23:40,5,1.0,Tue Dec 02 00:17:02 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['thank', 'think', 'upgrad']",RT @saxonidubom: @rwang0 @Apple Thanks...thinking of upgrading.
34,623495547,False,finalized,3,12/12/14 9:10,3,0.6515,Tue Dec 02 00:18:59 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
35,623495548,False,finalized,3,12/12/14 21:02,3,1.0,Tue Dec 02 00:22:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['way', 'stay', 'relev', 'rt', 'justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
36,623495549,False,finalized,6,12/11/14 9:47,3,1.0,Tue Dec 02 00:22:31 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['appl', 'inc', 'flash', 'crash', 'need', 'know']",Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV #AAPL
37,623495550,True,golden,9,,3,1.0,Tue Dec 02 00:23:47 +0000 2014,5.4e+17,#AAPL OR @Apple,3,"['help', 'use', 'amp']","http://t.co/hpC7p1rHvA
need help on using your #Apple #iPhone6 &amp; #iPhone6Plus ? #checkitout
@applenws @apple http://t.co/K3fQHPazMc"
38,623495551,False,finalized,3,12/11/14 14:07,3,1.0,Tue Dec 02 00:24:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
39,623495552,False,finalized,6,12/12/14 9:26,1,0.4673,Tue Dec 02 00:24:47 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['flash', 'crash', 'realli', 'screw', 'lot', 'trader', 'today', 'im', 'determin', 'ever', 'make', 'trade', 'work']",That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL
40,623495553,False,finalized,3,12/12/14 14:51,3,1.0,Tue Dec 02 00:25:38 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['jh', 'hine', 'staff', 'newli', 'issu', 'macbook', 'ipad', 'mini']",RT @tra_hall: The JH Hines Staff with their newly issued @Apple #ConnectED Macbook and iPad mini #txed http://t.co/82YjiCJBxH #txed
41,623495554,True,golden,11,,1,0.7453,Tue Dec 02 00:27:23 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['nigga', 'updat', 'yall', 'headphon']",Nigga update yall headphones @Apple
42,623495555,False,finalized,3,12/12/14 3:33,3,1.0,Tue Dec 02 00:27:36 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
43,623495556,False,finalized,3,12/11/14 22:17,1,0.665,Tue Dec 02 00:28:38 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
44,623495557,True,golden,10,,1,1.0,Tue Dec 02 00:29:58 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['ok', 'win', 'use', 'browser', 'anymor', 'sinc', 'keep', 'close', 'liter', 'time', 'today', 'count']","Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."
45,623495558,False,finalized,3,12/11/14 21:20,3,1.0,Tue Dec 02 00:31:26 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
46,623495559,False,finalized,6,12/11/14 20:50,1,0.501,Tue Dec 02 00:32:42 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['cite', 'us', 'constitut', 'judg', 'cannot', 'pass', 'law', 'violat', 'separ', 'power']",@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers
47,623495560,True,golden,16,,1,1.0,Tue Dec 02 00:34:51 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['need', 'get', 'ur', 'fuck', 'shit', 'togeth', 'let', 'txt', 'youtub']",@apple U need to get ur fucking shit together and let me txt while on YouTube
48,623495561,False,finalized,3,12/11/14 21:21,1,0.6672,Tue Dec 02 00:38:41 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['wish', 'could', 'prosecut', 'admin', 'violat', 'privaci', 'crimin', 'search', 'seizur']",@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
49,623495562,False,finalized,3,12/12/14 20:51,3,1.0,Tue Dec 02 00:39:47 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
50,623495563,False,finalized,3,12/12/14 1:20,3,0.6868,Tue Dec 02 00:39:51 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['furthermor', 'provis', 'secreci', 'constitut', 'activ', 'sedit', 'us', 'gov']",@thehill @Apple Furthermore there are no provisions for secrecy in the constitution as such such activities are sedition by the US gov.
51,623495564,False,finalized,3,12/12/14 3:38,1,0.6656,Tue Dec 02 00:45:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['appl', 'drop']",#AAPL:Here's why Apple dropped...http://t.co/qVpNCJv1pb
52,623495565,False,finalized,4,12/12/14 2:08,3,0.7408,Tue Dec 02 00:45:22 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['one', 'chart', 'explain', 'affect', 'paint', 'interest', 'stori', 'think']",This one chart explains @tim_cook's affect on @Apple. Paints an interesting story. What do you think? http://t.co/7cBY6jL5Pn
53,623495566,False,finalized,3,12/12/14 2:28,3,1.0,Tue Dec 02 00:47:23 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
54,623495567,False,finalized,3,12/12/14 21:02,3,1.0,Tue Dec 02 00:47:46 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
55,623495568,False,finalized,4,12/12/14 22:25,3,0.732,Tue Dec 02 00:51:10 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['final', 'monday', 'decemb']","Final #AAPL #PutCallRatios for Monday, December 1, 2014 http://t.co/EVJC0tNGPJ"
56,623495569,False,finalized,3,12/12/14 17:48,3,0.7177,Tue Dec 02 00:53:22 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['launch', 'red', 'logo', 'world', 'aid', 'day', 'dec', 'world', 'aid', 'day', 'red', 'appl', 'logo', 'abl']",#AAPL Launches Red #Apple Logo for World AIDS Day: Dec. 1 is World AIDS Day and the red Apple logo will be abl... http://t.co/crc6VpIELd
57,623495570,True,golden,14,,1,1.0,Tue Dec 02 00:53:58 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['hey', 'fuck']",hey @apple fuck you
58,623495571,True,golden,13,,3,0.6788,Tue Dec 02 00:54:31 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['compani', 'grow', 'faster', 'appl', 'inc']",5 Companies Growing Faster Than Apple Inc. http://t.co/PgCG4CkJK9 #AAPL
59,623495572,False,finalized,3,12/12/14 8:52,1,1.0,Tue Dec 02 00:56:11 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['peopl', 'explain', 'precaut', 'buy', 'expens', 'laptop']",@apple why doesn't your people explain precautions when buying an expensive laptop
60,623495573,False,finalized,3,12/11/14 20:59,3,1.0,Tue Dec 02 00:56:43 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
61,623495574,False,finalized,3,12/12/14 11:16,3,0.6731,Tue Dec 02 00:59:49 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['bore', 'huh']",@Quailman_ @Apple u was bored huh
62,623495575,False,finalized,3,12/11/14 20:54,3,1.0,Tue Dec 02 01:04:41 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['need', 'ip', 'portfolio', 'defend', 'big', 'compani', 'look', 'court', 'battl']",RT @wagner_tim: @robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung @Apple court battles
63,623495576,True,golden,18,,1,1.0,Tue Dec 02 01:05:37 +0000 2014,5.4e+17,#AAPL OR @Apple,1,"['die', 'hard', 'custom', 'must', 'say', 'truli', 'displeas', 'custom', 'servic', 'given', 'today']","As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple"
64,623495577,False,finalized,3,12/12/14 20:54,1,1.0,Tue Dec 02 01:06:42 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['made', 'clear', 'today', 'custom', 'worth', 'measli', 'employe', 'gave', 'mi', 'info', 'stand', 'behind']",@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
65,623495578,False,finalized,3,12/11/14 22:10,3,0.7011,Tue Dec 02 01:06:58 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['inspi', 'red', 'go', 'fight', 'aid', 'get']",INSPI(RED) by @Apple and @tim_cook on #WorldAIDSDAY. 100% of #AppsforRED in @AppStore go to fight AIDs. Get @Farmville2 and @CSRRacing @RED
66,623495579,False,finalized,4,12/12/14 2:39,3,0.7321,Tue Dec 02 01:07:53 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
67,623495580,False,finalized,3,12/12/14 9:14,3,1.0,Tue Dec 02 01:09:53 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['gb', 'air', 'retina', 'wifi', 'tablet', 'free', 'ship', 'via']",16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems
68,623495581,True,golden,16,,5,0.8214,Tue Dec 02 01:11:43 +0000 2014,5.4e+17,#AAPL OR @Apple,5,"['photo', 'love', 'io']",Photo: Love IOS 8 @apple @iphone #Love #IOS8 #NoCrop #iphone #young #phone #screen #capturescream #boy... http://t.co/fIDj9FxHDV
69,623495582,False,finalized,3,12/12/14 9:16,1,1.0,Tue Dec 02 01:13:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['forc', 'peopl', 'use', 'vpn', 'built', 'io', 'button', 'work', 'ff', 'like', 'want', 'appl', 'nsa', 'data', 'collect', 'servic']",Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.
70,623495583,False,finalized,3,12/12/14 13:02,1,0.6398,Tue Dec 02 01:15:12 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['hell', 'take', 'screenshot']",Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM
71,623495584,False,finalized,3,12/12/14 3:17,3,1.0,Tue Dec 02 01:17:55 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF
72,623495585,False,finalized,3,12/12/14 1:13,3,0.6759,Tue Dec 02 01:22:40 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
73,623495586,False,finalized,6,12/12/14 9:26,1,0.5327,Tue Dec 02 01:25:49 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['buy', 'round', 'lot', 'open', 'mt', 'stock', 'briefli', 'dove', 'today', 'analyst', 'sure']",Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv
74,623495587,False,finalized,3,12/11/14 18:38,1,1.0,Tue Dec 02 01:36:18 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['drain', 'batteri', 'fix']",3G is draining my battery fix this @apple
75,623495588,False,finalized,3,12/11/14 18:42,not_relevant,0.6527,Tue Dec 02 01:36:35 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['daughter', 'stolen', 'thief', 'tri', 'work', 'hard', 'earn', 'one', 'like', 'daughter', 'buy']",My daughter's @Apple #iPod stolen. To the thief: try working as hard to earn one - like my daughter had to buy hers. #LosingFaithInPeople
76,623495589,False,finalized,3,12/12/14 7:04,1,1.0,Tue Dec 02 01:40:38 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['charger', 'suck', 'ass', 'love', 'break']",@apple your chargers suck ass! They just love to break!
77,623495590,False,finalized,3,12/12/14 2:23,3,0.6783,Tue Dec 02 01:44:36 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
78,623495591,False,finalized,3,12/12/14 19:56,3,1.0,Tue Dec 02 01:45:03 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['three', 'horsemen', 'nasdaq', 'appl', 'microsoft', 'gilead', 'scie']","#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX"
79,623495592,False,finalized,3,12/12/14 0:00,3,0.6604,Tue Dec 02 01:47:52 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['justic', 'depart', 'cite', 'th', 'centuri', 'feder', 'law', 'get', 'unlock', 'iphon']",RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom
80,623495593,False,finalized,4,12/12/14 14:46,1,0.7556,Tue Dec 02 01:49:00 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['hope', 'automat', 'make', 'us', 'download', 'bruce', 'springsteen', 'sing', 'togeth']",I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad
81,623495594,False,finalized,6,12/11/14 23:38,1,0.4791,Tue Dec 02 01:52:00 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['joke', 'justic', 'dept', 'prosecut', 'killer', 'wilson', 'pursuit', 'justic']",@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!
82,623495595,False,finalized,3,12/12/14 8:53,3,1.0,Tue Dec 02 01:52:18 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['pleas', 'educ', 'us']",@aydlettgwyn13 @apple please educate us
83,623495596,False,finalized,4,12/12/14 2:30,1,0.7591,Tue Dec 02 01:53:41 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['wish', 'could', 'prosecut', 'admin', 'violat', 'privaci', 'crimin', 'search', 'seizur']",RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure
84,623495597,False,finalized,3,12/12/14 11:28,3,0.6676,Tue Dec 02 01:58:06 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['game', 'play', 'name']",The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8
85,623495598,False,finalized,3,12/12/14 6:51,3,1.0,Tue Dec 02 02:00:04 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['steve', 'job', 'email', 'need', 'read']",#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx
86,623495599,False,finalized,3,12/12/14 20:34,1,1.0,Tue Dec 02 02:00:59 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['sooooo', 'annoy', 'restor', 'back', 'lost', 'voic', 'mail', 'need', 'keep', 'thank', 'lot']",So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple
87,623495600,False,finalized,3,12/12/14 16:23,1,0.7039,Tue Dec 02 02:03:46 +0000 2014,5.4e+17,#AAPL OR @Apple,,"['thisn', 'updat', 'stress']",Thisn#Yosemite update is stressing me out @apple #macbookpro
